# Ang (º),Vel (º/s),Time (s)
80.0,50.0,0.0
82.0,-25.0,0.0
84.0,-25.0,0.1
83.0,-125.0,0.1
82.0,-100.0,0.2
77.0,-125.0,0.2
73.0,0.0,0.2
68.0,25.0,0.3
68.0,-150.0,0.3
69.0,-75.0,0.4
63.0,-75.0,0.4
60.0,-50.0,0.4
57.0,25.0,0.5
55.0,-50.0,0.5
56.0,0.0,0.6
54.0,50.0,0.6
54.0,-50.0,0.6
56.0,0.0,0.7
54.0,-50.0,0.7
54.0,25.0,0.8
52.0,0.0,0.8
53.0,-25.0,0.8
53.0,50.0,0.9
52.0,-50.0,0.9
54.0,0.0,1.0
52.0,0.0,1.0
52.0,25.0,1.0
52.0,250.0,1.1
53.0,0.0,1.1
63.0,0.0,1.2
63.0,75.0,1.2
63.0,150.0,1.2
66.0,25.0,1.3
72.0,0.0,1.3
73.0,-25.0,1.4
73.0,0.0,1.4
72.0,25.0,1.4
72.0,75.0,1.5
73.0,-25.0,1.5
76.0,0.0,1.6
75.0,-75.0,1.6
75.0,50.0,1.6
72.0,0.0,1.7
74.0,0.0,1.7
74.0,-25.0,1.8
74.0,-50.0,1.8
73.0,25.0,1.8
71.0,25.0,1.9
72.0,25.0,1.9
73.0,0.0,2.0
74.0,25.0,2.0
74.0,-25.0,2.0
75.0,25.0,2.1
74.0,50.0,2.1
75.0,25.0,2.2
77.0,-75.0,2.2
78.0,-75.0,2.2
75.0,0.0,2.3
72.0,-25.0,2.3
72.0,-50.0,2.4
71.0,-75.0,2.4
69.0,-50.0,2.4
66.0,-100.0,2.5
64.0,-25.0,2.5
60.0,0.0,2.6
59.0,-25.0,2.6
59.0,-25.0,2.6
58.0,25.0,2.7
57.0,25.0,2.7
58.0,50.0,2.8
59.0,0.0,2.8
61.0,-25.0,2.8
61.0,75.0,2.9
60.0,-50.0,2.9
63.0,75.0,3.0
61.0,-25.0,3.0
64.0,0.0,3.0
63.0,0.0,3.1
63.0,-25.0,3.1
63.0,25.0,3.2
62.0,0.0,3.2
63.0,100.0,3.2
63.0,0.0,3.3
67.0,100.0,3.3
67.0,125.0,3.4
71.0,50.0,3.4
76.0,50.0,3.4
78.0,0.0,3.5
80.0,75.0,3.5
80.0,0.0,3.6
83.0,50.0,3.6
83.0,75.0,3.6
85.0,-25.0,3.7
88.0,0.0,3.7
87.0,-25.0,3.8
87.0,-25.0,3.8
86.0,-75.0,3.8
85.0,-50.0,3.9
82.0,0.0,3.9
80.0,-100.0,4.0
80.0,-25.0,4.0
76.0,25.0,4.0
75.0,50.0,4.1
76.0,25.0,4.1
78.0,0.0,4.2
79.0,0.0,4.2
79.0,-25.0,4.2
79.0,0.0,4.3
78.0,25.0,4.3
78.0,25.0,4.4
79.0,-75.0,4.4
80.0,-75.0,4.4
77.0,75.0,4.5
74.0,25.0,4.5
77.0,-150.0,4.6
78.0,-75.0,4.6
72.0,-50.0,4.6
69.0,-25.0,4.7
67.0,-50.0,4.7
66.0,-75.0,4.8
64.0,-150.0,4.8
61.0,-50.0,4.8
55.0,100.0,4.9
53.0,25.0,4.9
57.0,50.0,5.0
58.0,0.0,5.0
60.0,-50.0,5.0
60.0,50.0,5.1
58.0,75.0,5.1
60.0,-75.0,5.2
63.0,-25.0,5.2
60.0,50.0,5.2
59.0,25.0,5.3
61.0,-75.0,5.3
62.0,25.0,5.4
59.0,100.0,5.4
60.0,100.0,5.4
64.0,50.0,5.5
68.0,25.0,5.5
70.0,150.0,5.6
71.0,75.0,5.6
77.0,-50.0,5.6
80.0,25.0,5.7
78.0,-25.0,5.7
79.0,75.0,5.8
78.0,75.0,5.8
81.0,75.0,5.8
84.0,-50.0,5.9
87.0,-25.0,5.9
85.0,25.0,6.0
84.0,25.0,6.0
85.0,-25.0,6.0
86.0,-25.0,6.1
85.0,-100.0,6.1
84.0,-25.0,6.2
80.0,-50.0,6.2
79.0,-25.0,6.2
77.0,50.0,6.3
76.0,25.0,6.3
78.0,-25.0,6.4
79.0,0.0,6.4
78.0,25.0,6.4
78.0,25.0,6.5
79.0,0.0,6.5
80.0,25.0,6.6
80.0,0.0,6.6
81.0,-75.0,6.6
81.0,-100.0,6.7
78.0,-50.0,6.7
74.0,100.0,6.8
72.0,0.0,6.8
76.0,-100.0,6.8
76.0,-75.0,6.9
72.0,0.0,6.9
69.0,-25.0,7.0
69.0,-25.0,7.0
68.0,-75.0,7.0
67.0,-25.0,7.1
64.0,-25.0,7.1
63.0,-50.0,7.2
62.0,25.0,7.2
60.0,0.0,7.2
61.0,0.0,7.3
61.0,75.0,7.3
61.0,50.0,7.4
64.0,-75.0,7.4
66.0,-25.0,7.4
63.0,25.0,7.5
62.0,25.0,7.5
63.0,0.0,7.6
64.0,-25.0,7.6
64.0,50.0,7.6
63.0,0.0,7.7
65.0,125.0,7.7
65.0,125.0,7.8
70.0,50.0,7.8
75.0,-50.0,7.8
77.0,25.0,7.9
75.0,25.0,7.9
76.0,0.0,8.0
77.0,0.0,8.0
77.0,75.0,8.0
77.0,25.0,8.1
80.0,0.0,8.1
81.0,25.0,8.2
81.0,-25.0,8.2
